source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
8350,2021-12-22,ห้วยขวาง,ประชาสงเคราะห์,07:00-09:00,0,1525.0
8351,2021-12-22,ห้วยขวาง,รัชดาภิเษก,16:00-19:00,0,7238.666666666667
8352,2021-12-22,ห้วยขวาง,ประชาสงเคราะห์,16:00-19:00,0,1169.6666666666667
8353,2021-12-22,ห้วยขวาง,รัชดาภิเษก,09:00-16:00,0,5765.571428571428
8354,2021-12-22,ห้วยขวาง,ประชาสงเคราะห์,09:00-16:00,0,1339.5714285714287
17017,2020-06-02,หมอเหล็ง,ราชปรารภ,09:00-16:00,0,1608.2857142857142
17020,2020-06-02,หมอเหล็ง,จตุรทิศ,09:00-16:00,0,357.85714285714283
17022,2020-06-02,หมอเหล็ง,ศรีอยุธยา,07:00-09:00,0,3874.0
17023,2020-06-02,หมอเหล็ง,ศรีอยุธยา,09:00-16:00,0,4143.428571428572
17024,2020-06-02,หมอเหล็ง,ศรีอยุธยา,16:00-19:00,0,5641.0
17043,2020-06-09,บุคคโล,เจริญนคร,07:00-09:00,0,2503.5
17044,2020-06-09,บุคคโล,เจริญนคร,09:00-16:00,0,2399.8571428571427
17045,2020-06-09,บุคคโล,เจริญนคร,16:00-19:00,0,2938.6666666666665
17131,2020-06-26,ท่าพระ,รัชดาภิเษก,09:00-16:00,0,975.8571428571429
17134,2020-06-26,ท่าพระ,เพชรเกษม,09:00-16:00,0,3341.5714285714284
17136,2020-06-26,ท่าพระ,จรัญสนิทวงศ์,07:00-09:00,0,1596.5
17137,2020-06-26,ท่าพระ,จรัญสนิทวงศ์,09:00-16:00,0,1529.0
17138,2020-06-26,ท่าพระ,จรัญสนิทวงศ์,16:00-19:00,0,1421.3333333333333
17190,2020-09-10,ประชาชื่น,ประชาชื่น,07:00-09:00,0,1269.5
17191,2020-09-10,ประชาชื่น,ประชาชื่น,09:00-16:00,0,1129.857142857143
17192,2020-09-10,ประชาชื่น,ประชาชื่น,16:00-19:00,0,659.6666666666666
17370,2020-03-11,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,07:00-09:00,1,1353.0
17371,2020-03-11,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,09:00-16:00,1,849.7142857142857
17372,2020-03-11,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,16:00-19:00,1,1233.3333333333333
17413,2020-03-20,โรงกรองน้ำ,พระรามที่6,09:00-16:00,1,2409.0
17416,2020-03-20,โรงกรองน้ำ,นครไชยศรี,09:00-16:00,1,1035.7142857142858
17439,2020-03-26,ประดิพัทธ์,พระรามที่6,07:00-09:00,1,1921.5
17440,2020-03-26,ประดิพัทธ์,พระรามที่6,09:00-16:00,1,1541.0
17441,2020-03-26,ประดิพัทธ์,พระรามที่6,16:00-19:00,1,1498.0
